time,strain
0.000000000000000000e+00,7.706262192395323185e-19
2.441406250000000000e-04,7.053825082343980160e-19
4.882812500000000000e-04,7.036960923908839397e-19
7.324218750000000000e-04,7.525552679814071121e-19
9.765625000000000000e-04,7.453913982106290592e-19
1.220703125000000000e-03,7.229045353768546378e-19
1.464843750000000000e-03,7.023091132567005056e-19
1.708984375000000000e-03,7.264719810651060647e-19
1.953125000000000000e-03,7.669526945108978030e-19
2.197265625000000000e-03,7.164460582083649335e-19
2.441406250000000000e-03,6.867178289098820883e-19
2.685546875000000000e-03,7.358639325378441484e-19
2.929687500000000000e-03,7.430963897054701143e-19
3.173828125000000000e-03,7.155284162460685976e-19
3.417968750000000000e-03,6.976983396422328847e-19
3.662109375000000000e-03,7.049887756392276223e-19
3.906250000000000000e-03,7.459823374127865660e-19
4.150390625000000000e-03,7.227387838311282337e-19
4.394531250000000000e-03,6.699158370193674126e-19
4.638671875000000000e-03,7.081326830005995540e-19
4.882812500000000000e-03,7.361969434000027343e-19
5.126953125000000000e-03,7.038486880595685262e-19
5.371093750000000000e-03,6.848096684760565108e-19
5.615234375000000000e-03,6.851954850733686659e-19
5.859375000000000000e-03,7.189665400734208811e-19
6.103515625000000000e-03,7.201064920719030569e-19
6.347656250000000000e-03,6.603369588187684954e-19
6.591796875000000000e-03,6.734147759809009118e-19
6.835937500000000000e-03,7.170151138578764225e-19
7.080078125000000000e-03,6.918237397110560295e-19
7.324218750000000000e-03,6.640939935486533741e-19
7.568359375000000000e-03,6.640914023742507810e-19
7.812500000000000000e-03,6.866241470984121909e-19
8.056640625000000000e-03,7.016625393065509484e-19
8.300781250000000000e-03,6.538330500253258094e-19
8.544921875000000000e-03,6.364686920746880876e-19
8.789062500000000000e-03,6.878235967678660674e-19
9.033203125000000000e-03,6.812059237446384371e-19
9.277343750000000000e-03,6.373873689850306176e-19
9.521484375000000000e-03,6.378525710969500431e-19
9.765625000000000000e-03,6.556466943386827890e-19
1.000976562500000000e-02,6.701389227352469856e-19
1.025390625000000000e-02,6.419234096968092931e-19
1.049804687500000000e-02,6.049683064405521776e-19
1.074218750000000000e-02,6.445971867994702808e-19
1.098632812500000000e-02,6.617181947335338251e-19
1.123046875000000000e-02,6.146561894663454906e-19
1.147460937500000000e-02,6.041401424114419654e-19
1.171875000000000000e-02,6.222940826708114291e-19
1.196289062500000000e-02,6.369330229461191993e-19
1.220703125000000000e-02,6.197310623856779696e-19
1.245117187500000000e-02,5.759819307859691234e-19
1.269531250000000000e-02,5.983706628668834746e-19
1.293945312500000000e-02,6.296847135598113982e-19
1.318359375000000000e-02,5.912818857615945100e-19
1.342773437500000000e-02,5.675279936697263177e-19
1.367187500000000000e-02,5.834441737244666677e-19
1.391601562500000000e-02,5.977786285194912239e-19
1.416015625000000000e-02,5.899928681009501737e-19
1.440429687500000000e-02,5.511589606269354140e-19
1.464843750000000000e-02,5.484589381718147531e-19
1.489257812500000000e-02,5.881655060898371572e-19
1.513671875000000000e-02,5.681581201348483916e-19
1.538085937500000000e-02,5.265292618939343786e-19
1.562500000000000000e-02,5.381624108390709763e-19
1.586914062500000000e-02,5.552923718306167959e-19
1.611328125000000000e-02,5.501076537905851815e-19
1.635742187500000000e-02,5.203371633483026885e-19
1.660156250000000000e-02,5.010565568491565838e-19
1.684570312500000000e-02,5.343686824209011481e-19
1.708984375000000000e-02,5.360459858716445323e-19
1.733398437500000000e-02,4.886821579202607642e-19
1.757812500000000000e-02,4.879571916968309466e-19
1.782226562500000000e-02,5.115371217216650162e-19
1.806640625000000000e-02,5.064752283741808267e-19
1.831054687500000000e-02,4.814914268557779333e-19
1.855468750000000000e-02,4.561104270251790642e-19
1.879882812500000000e-02,4.758079708726939378e-19
1.904296875000000000e-02,4.938480909872552200e-19
1.928710937500000000e-02,4.525219263381267118e-19
1.953125000000000000e-02,4.335161823713279431e-19
1.977539062500000000e-02,4.574090152513300350e-19
2.001953125000000000e-02,4.618699309053550652e-19
2.026367187500000000e-02,4.375547041610667969e-19
2.050781250000000000e-02,4.107384904381522955e-19
2.075195312500000000e-02,4.200703795395190510e-19
2.099609375000000000e-02,4.422478256363846068e-19
2.124023437500000000e-02,4.135289369442285072e-19
2.148437500000000000e-02,3.809506298025493842e-19
2.172851562500000000e-02,3.982795412013871121e-19
2.197265625000000000e-02,4.099523963892083156e-19
2.221679687500000000e-02,3.875845144845880638e-19
2.246093750000000000e-02,3.630104217899155983e-19
2.270507812500000000e-02,3.626538430018906202e-19
2.294921875000000000e-02,3.818003418835458904e-19
2.319335937500000000e-02,3.691677785981355041e-19
2.343750000000000000e-02,3.316579429955123569e-19
2.368164062500000000e-02,3.363873354859221551e-19
2.392578125000000000e-02,3.564598200684148344e-19
2.416992187500000000e-02,3.385443257700186258e-19
2.441406250000000000e-02,3.106098308725642552e-19
2.465820312500000000e-02,3.039038525493567944e-19
2.490234375000000000e-02,3.194410934631578470e-19
2.514648437500000000e-02,3.177856430061889786e-19
2.539062500000000000e-02,2.811907749553065239e-19
2.563476562500000000e-02,2.728836819861326036e-19
2.587890625000000000e-02,2.946248815422055311e-19
2.612304687500000000e-02,2.876740909002006445e-19
2.636718750000000000e-02,2.570007394194509004e-19
2.661132812500000000e-02,2.438624902097079024e-19
2.685546875000000000e-02,2.581420134363713068e-19
2.709960937500000000e-02,2.602635847765802654e-19
2.734375000000000000e-02,2.309616592633903047e-19
2.758789062500000000e-02,2.125035425822691106e-19
2.783203125000000000e-02,2.273865478133907655e-19
2.807617187500000000e-02,2.313192226950733387e-19
2.832031250000000000e-02,2.017119903969013119e-19
2.856445312500000000e-02,1.819289872603970925e-19
2.880859375000000000e-02,1.917969445445572923e-19
2.905273437500000000e-02,1.992532232220849113e-19
2.929687500000000000e-02,1.778748338797660092e-19
2.954101562500000000e-02,1.522066252202161149e-19
2.978515625000000000e-02,1.588974793644231412e-19
3.002929687500000000e-02,1.711976313057349276e-19
3.027343750000000000e-02,1.460191292576309512e-19
3.051757812500000000e-02,1.205373390355556643e-19
3.076171875000000000e-02,1.274879957192552814e-19
3.100585937500000000e-02,1.330527886676926288e-19
3.125000000000000000e-02,1.181988121647183004e-19
3.149414062500000000e-02,9.311340092724417050e-20
3.173828125000000000e-02,8.931832485855084408e-20
3.198242187500000000e-02,1.054925039810518610e-19
3.222656250000000000e-02,9.148883743415397996e-20
3.247070312500000000e-02,6.026943020863198084e-20
3.271484375000000000e-02,5.821554136184627795e-20
3.295898437500000000e-02,7.118909098328286150e-20
3.320312500000000000e-02,6.051873430744610584e-20
3.344726562500000000e-02,3.269061226721019484e-20
3.369140625000000000e-02,2.631216939240843223e-20
3.393554687500000000e-02,3.812974503896900989e-20
3.417968750000000000e-02,3.157234938077181396e-20
3.442382812500000000e-02,1.596330379091302502e-21
3.466796875000000000e-02,-8.511013519780723843e-21
3.491210937500000000e-02,5.128364748484988166e-21
3.515625000000000000e-02,-1.107296005818617888e-21
3.540039062500000000e-02,-2.497438841964868346e-20
3.564453125000000000e-02,-3.634259286404514976e-20
3.588867187500000000e-02,-2.965500624846252571e-20
3.613281250000000000e-02,-2.888816368115696644e-20
3.637695312500000000e-02,-5.366792058781981737e-20
3.662109375000000000e-02,-7.223497273100124206e-20
3.686523437500000000e-02,-6.376057009737904329e-20
3.710937500000000000e-02,-6.152060626320306445e-20
3.735351562500000000e-02,-8.281686279318301135e-20
3.759765625000000000e-02,-9.942921424342501868e-20
3.784179687500000000e-02,-9.359491248952917484e-20
3.808593750000000000e-02,-9.260484795132270513e-20
3.833007812500000000e-02,-1.097542006539488042e-19
3.857421875000000000e-02,-1.288154054212260069e-19
3.881835937500000000e-02,-1.300394592321976219e-19
3.906250000000000000e-02,-1.219345559785429945e-19
3.930664062500000000e-02,-1.367200407919627888e-19
3.955078125000000000e-02,-1.576759850650640807e-19
3.979492187500000000e-02,-1.573104835568725021e-19
4.003906250000000000e-02,-1.526566680275729328e-19
4.028320312500000000e-02,-1.644398537554446291e-19
4.052734375000000000e-02,-1.875270217649418857e-19
4.077148437500000000e-02,-1.908171903030423419e-19
4.101562500000000000e-02,-1.817188122767085265e-19
4.125976562500000000e-02,-1.925586416650123606e-19
4.150390625000000000e-02,-2.117614133260487050e-19
4.174804687500000000e-02,-2.176336695417958710e-19
4.199218750000000000e-02,-2.118895564088110466e-19
4.223632812500000000e-02,-2.170097785176048720e-19
4.248046875000000000e-02,-2.394810869467329671e-19
4.272460937500000000e-02,-2.480048420661037363e-19
4.296875000000000000e-02,-2.409526363740479865e-19
4.321289062500000000e-02,-2.475551664644450318e-19
4.345703125000000000e-02,-2.635515052622608300e-19
4.370117187500000000e-02,-2.730608626802235614e-19
4.394531250000000000e-02,-2.693705278955193454e-19
4.418945312500000000e-02,-2.698915193808822590e-19
4.443359375000000000e-02,-2.902128583914756873e-19
4.467773437500000000e-02,-3.028675991244120118e-19
4.492187500000000000e-02,-2.963702891881810297e-19
4.516601562500000000e-02,-2.979161971313530273e-19
4.541015625000000000e-02,-3.136826749799730612e-19
4.565429687500000000e-02,-3.258519530152892739e-19
4.589843750000000000e-02,-3.236527731994927966e-19
4.614257812500000000e-02,-3.237417763258628487e-19
4.638671875000000000e-02,-3.379683322314553415e-19
4.663085937500000000e-02,-3.508464616486138838e-19
4.687500000000000000e-02,-3.522420606937981076e-19
4.711914062500000000e-02,-3.494383587072933516e-19
4.736328125000000000e-02,-3.607490486370112492e-19
4.760742187500000000e-02,-3.733699610750465356e-19
4.785156250000000000e-02,-3.743975826474590754e-19
4.809570312500000000e-02,-3.751866755199639916e-19
4.833984375000000000e-02,-3.833663274675013480e-19
4.858398437500000000e-02,-3.990242043400017559e-19
4.882812500000000000e-02,-4.022702491217055057e-19
4.907226562500000000e-02,-3.989328084799394692e-19
4.931640625000000000e-02,-4.077494165873920063e-19
4.956054687500000000e-02,-4.184127830395192099e-19
4.980468750000000000e-02,-4.243251516251419104e-19
5.004882812500000000e-02,-4.229747500470896935e-19
5.029296875000000000e-02,-4.276934841876617830e-19
5.053710937500000000e-02,-4.429177709670378671e-19
5.078125000000000000e-02,-4.479012433305906987e-19
5.102539062500000000e-02,-4.461041124968267744e-19
5.126953125000000000e-02,-4.512132066674865782e-19
5.151367187500000000e-02,-4.599218927961417349e-19
5.175781250000000000e-02,-4.678497665930689009e-19
5.200195312500000000e-02,-4.708767482588127871e-19
5.224609375000000000e-02,-4.699730042479465362e-19
5.249023437500000000e-02,-4.817509205400433593e-19
5.273437500000000000e-02,-4.927184692673627270e-19
5.297851562500000000e-02,-4.894473667802545017e-19
5.322265625000000000e-02,-4.917145575778569957e-19
5.346679687500000000e-02,-5.012154664571208769e-19
5.371093750000000000e-02,-5.076080444946752876e-19
5.395507812500000000e-02,-5.098585010177363182e-19
5.419921875000000000e-02,-5.113357788190052669e-19
